alpha,bias,degree,framework,num_features,proj_time,projection,regr_time,scale,test_score,val_score
1e-06,0.0,2.0,numpy,10000.0,13.107518196105957,opu,49.978859424591064,1e-05,0.8771,0.8839166666666667
1e-06,0.0,2.0,numpy,10000.0,16.466043949127197,opu,50.75794863700867,0.0001,0.8795,0.8813333333333333
1e-06,0.0,2.0,numpy,10000.0,16.36596941947937,opu,50.77158045768738,0.001,0.875,0.87975
1e-06,0.0,2.0,numpy,10000.0,16.474509477615356,opu,50.715410232543945,0.01,0.8759,0.8796666666666667
1e-06,0.0,2.0,numpy,10000.0,16.39990496635437,opu,50.82587265968323,0.1,0.8788,0.8835833333333334
1e-06,1.0,2.0,numpy,10000.0,16.432526111602783,opu,50.89812207221985,1e-05,0.8762,0.8840833333333333
1e-06,1.0,2.0,numpy,10000.0,16.39561915397644,opu,50.90645432472229,0.0001,0.8792,0.881
1e-06,1.0,2.0,numpy,10000.0,16.46830153465271,opu,50.80877733230591,0.001,0.8791,0.88125
1e-06,1.0,2.0,numpy,10000.0,16.352944374084473,opu,51.159143686294556,0.01,0.88,0.8804166666666666
1e-06,1.0,2.0,numpy,10000.0,16.56390643119812,opu,50.868351221084595,0.1,0.8781,0.8798333333333334
1e-06,2.0,2.0,numpy,10000.0,16.381216287612915,opu,50.783671617507935,1e-05,0.8785,0.8825833333333334
1e-06,2.0,2.0,numpy,10000.0,16.5813467502594,opu,50.79890012741089,0.0001,0.8804,0.8805833333333334
1e-06,2.0,2.0,numpy,10000.0,16.50337505340576,opu,50.8524124622345,0.001,0.8766,0.8793333333333333
1e-06,2.0,2.0,numpy,10000.0,16.35766839981079,opu,50.27312254905701,0.01,0.8776,0.8796666666666667
1e-06,2.0,2.0,numpy,10000.0,15.835509538650513,opu,50.43700051307678,0.1,0.8822,0.8821666666666667
1e-06,4.0,2.0,numpy,10000.0,15.75369644165039,opu,50.365960121154785,1e-05,0.8776,0.88175
1e-06,4.0,2.0,numpy,10000.0,15.836787939071655,opu,50.38913416862488,0.0001,0.8778,0.8838333333333334
1e-06,4.0,2.0,numpy,10000.0,15.804986715316772,opu,50.38189101219177,0.001,0.8777,0.8821666666666667
1e-06,4.0,2.0,numpy,10000.0,15.801202774047852,opu,50.3427095413208,0.01,0.8796,0.8795833333333334
